rest_or_suffix	frequency
න්	7360451
ය	7215496
ට	6231798
න	4313203
ක්	3725216
ත්	3569763
ව	3005715
ම	2865638
ර	2715806
ක	2500021
යේ	2060745
යි	1731289
ම්	1567327
ල	1378851
යක්	1359507
යට	1238689
ත	1092537
වා	1088324
ල්	1087040
මට	1085336
ණ	1062642
ස්	951376
යෙන්	938314
නය	934829
දී	888875
ති	859737
වේ	819682
ගේ	723144
යා	718078
ද	703776
රු	697409
වට	671732
හා	659587
නවා	605019
තා	597361
ණය	590571
ළ	521508
යන්	517530
මින්	515583
න්න	495386
කට	474532
කු	459388
න්නේ	448587
වක්	447486
මේ	444364
ලා	439594
ස	428816
ණු	422736
වෙන්	418361
තු	406019
ර්	400308
යක	387321
න්ට	385188
න්ගේ	380027
නා	371495
නු	369350
නි	349217
වන්	346735
යුතු	339463
රයා	337696
පති	337498
ග	335713
හන්	335499
ශ	328279
දා	315019
මක්	311494
හ	306069
ලට	299339
වරයා	288964
ගෙන	283255
කි	280640
වල	272173
ණි	271230
ටත්	258432
රණය	240945
රණ	239957
කින්	231089
රය	225109
රි	222246
යින්	220930
දු	218969
ඳ	216187
දි	212921
න්ධයෙන්	212387
නයේ	209743
න්ම	207181
යේදී	206981
ලි	204734
පත්	201256
ළු	190078
මත්	188638
සිය	186524
ධ	184372
ධිපති	183343
මෙන්	182951
න්ද	182903
යකට	180406
ක්ෂ	175866
ඟ	175377
කර	174477
ට්	173684
වත්	173660
ඹ	171856
වලට	170400
ත්මක	170323
ගිය	170273
සක්	169257
තේ	169160
හස්	166207
වන	164373
කම්	164365
ගුවට	164067
ගත	162079
ලය	161935
ලේ	161898
ත්‍ය	161647
රේ	161023
ශයේ	160530
තාව	159139
ල්ල	154736
බඳ	153501
ඩංගුවට	153453
ලු	152646
න්ත	150388
පු	149043
යන	148246
නයක්	148052
කා	147575
තුරු	146268
යල්	143947
මය	142818
නයට	142507
තිවරයා	142467
රිපත්	140770
ලන	139443
ණා	139247
යාව	137933
තය	137653
ගත්	137551
ලින්	135445
ශ්‍ය	134906
රුවන්	131041
ශය	130605
ණයක්	130404
ණේ	129304
ගම	128919
වර	127455
කයන්	125487
හි	125433
නම්	125430
ඩ	123347
ප	122990
පාලන	122480
ර්ධන	121434
වී	120940
ඳව	119100
මු	118707
ෂ	118195
බඳව	118156
සයි	117540
ලයේ	117199
රයේ	116113
සි	114524
න්නට	113260
ටම	112260
ඩ්	112189
ම්භ	112126
නායක	111892
සා	111829
සිංහ	111336
කාර	109778
ණක්	109582
රුන්	109360
සන්	109345
යෙකු	108716
යම	108331
රා	108132
ත්වය	107732
යෝ	107727
රටත්	107477
තින	106655
වය	106598
රී	106363
දුරටත්	105932
තිය	105400
පක්ෂ	104361
රිය	102803
යකින්	102490
ණයට	102016
පතිවරයා	101776
දය	101474
වූ	100835
රීන්	100353
කරුවන්	99136
යන්ට	98910
වීම	98349
ක්ෂණ	98251
ජ	96667
ක්ෂක	96390
කරණ	96351
සීය	96050
ධාරීන්	95781
ගෙන්	95390
මා	95063
කරණය	94478
තව	94031
න්තර	92632
රක්	90831
යම්	90734
ධානය	90520
රුදු	90494
න්තු	89928
විට	89128
කරු	88539
ගය	87197
කය	87136
වරුන්	86705
මි	85771
ලික	85488
රන	85400
ටි	85326
මේන්තු	85311
වලින්	85288
යකු	85122
රයක්	85027
කුට	83793
ජන	83669
යාගේ	83645
නේ	82226
වේදී	81901
න්තුව	81601
රුව	81542
යෙක්	80803
ත්න	80568
රින්	80436
විය	80361
මේන්තුව	80260
යාට	79941
කයින්	79705
රත්න	79532
රට	78878
ර්ය	78153
රයට	77926
සය	77300
යාවේ	77042
හිර	77023
න්ධ	76102
දනය	75620
යන්ගේ	74557
හිව	74516
යකි	74499
සු	73866
වක	73534
සේ	73519
වල්	73106
හන	73076
රක	73065
චි	72587
වි	71551
යානු	71476
ලිය	71403
වරණය	70580
ත්‍යවරයා	70034
කව	69365
යත්	68999
ක්ෂා	68830
ලක්	67421
තන	66511
ධිපතිවරයා	66026
න්ගෙන්	65784
තාවට	65313
ව්	63654
පන	63544
වීමට	63306
දන	62628
ම්බර්	62589
ත්ව	62501
ද්ධ	62263
වන්ට	61787
ගී	61741
වරණ	61586
කදී	61421
රණයට	61420
ටිය	60891
ගල	60407
ක්ද	60101
න්‍ය	59924
මේදී	59734
රාධ	59695
රයෙන්	58853
නට	58447
දීම	58177
රව	57674
පුර	57484
සුකම්	57098
නයෙන්	56978
ත්තු	56831
ස්ථාව	56708
කාරී	56702
යයි	56534
වර්ධන	56283
වරු	56241
සර	56203
නී	56091
වකට	56019
න්තුවේ	55364
වාදී	55293
සුම්	55145
යේය	55110
තුර	55109
කම	54906
ර්තමේන්තුව	54794
ත්ත	54621
ශීය	54570
තුරුව	54533
මේන්තුවේ	54491
රීම	54410
ඥ	54039
ත්ති	53518
යෙන්ම	52787
කළ	52703
ච්ඡා	52663
ර්ශන	52587
තාගේ	52254
මයි	52025
කරන	51312
න්දු	51189
නක්	50389
ළත්	49598
ජ්‍ය	49517
